X,CH1,CH2,CH3,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,Volt,-6.000000e-07,4.000000e-09
85,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
86,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
87,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
88,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
89,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
90,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
91,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
92,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
93,8.80e-01,3.84e+00,3.84e+00,7.20e-01,
94,2.32e+00,3.36e+00,3.60e+00,4.80e-01,
95,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
96,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
97,5.12e+00,7.20e-01,1.68e+00,3.44e+00,
98,4.00e+00,3.20e-01,8.00e-01,3.68e+00,
99,2.56e+00,-5.60e-01,3.20e-01,3.68e+00,
100,8.00e-01,-1.12e+00,-1.68e+00,3.52e+00,
101,-4.00e-01,-1.04e+00,-1.28e+00,3.52e+00,
102,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
103,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
104,2.24e+00,-2.40e-01,0.00e+00,2.32e+00,
105,4.40e+00,2.40e-01,-1.60e-01,1.60e-01,
106,4.96e+00,1.92e+00,-4.00e-01,-1.12e+00,
107,4.80e+00,2.40e+00,2.08e+00,-1.28e+00,
108,4.24e+00,3.84e+00,2.72e+00,-1.28e+00,
109,2.64e+00,4.16e+00,3.44e+00,-3.20e-01,
110,4.80e-01,4.56e+00,4.80e+00,-3.20e-01,
111,-3.20e-01,4.64e+00,4.48e+00,8.00e-02,
112,8.00e-02,4.40e+00,4.40e+00,8.80e-01,
113,8.80e-01,4.00e+00,3.84e+00,7.20e-01,
114,2.32e+00,3.36e+00,3.60e+00,5.60e-01,
115,4.24e+00,3.12e+00,4.00e+00,1.84e+00,
116,5.20e+00,8.80e-01,4.24e+00,3.04e+00,
117,5.12e+00,8.80e-01,1.68e+00,3.44e+00,
118,4.00e+00,2.40e-01,8.00e-01,3.68e+00,
119,2.56e+00,-4.00e-01,1.60e-01,3.68e+00,
120,6.40e-01,-1.12e+00,-1.68e+00,3.52e+00,
121,-4.00e-01,-1.12e+00,-1.28e+00,3.52e+00,
122,8.00e-02,-7.20e-01,-9.60e-01,2.96e+00,
123,6.40e-01,-5.60e-01,-8.00e-01,2.40e+00,
124,2.16e+00,-2.40e-01,0.00e+00,2.40e+00,
125,4.40e+00,2.40e-01,-1.60e-01,2.40e-01,
